wait 160000
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
cal 1
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
send 27 28
