wait 160000
cal 1
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
cal 1
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
cal 1
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
cal 1
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
cal 1
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
cal 1
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
cal 1
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
cal 1
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
cal 1
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
cal 1
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
cal 1
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
cal 1
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
cal 1
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
cal 1
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
cal 1
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
cal 1
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
cal 1
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
send 28 29
